,length,sampledate,assyear,month,xmonth,cfin1,cfin2,chel1,chel2,lcop1,lcop2,fbar,recr,cumf,totaln,sst,sal,nao,amo
0,23,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
1,22.5,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
2,25,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
3,25.5,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
4,24,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
5,22,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
6,24,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
7,23.5,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
8,22.5,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
9,22.5,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
10,23,2003-10-07,2003,10,7,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
11,22.5,2003-09-30,2003,9,6,0.02778,0.27785,2.46875,21.43548,2.54787,26.35881,0.356,482831,0.3059878833,267380.8474,14.3069330186,35.512338868,2.8,0.0896
